cluster_rep,cluster_member,memberContig,repContig,orfN
13460_LNBYT5954Z_1,13460_LNBYT5954Z_1,13460_LNBYT5954Z,13460_LNBYT5954Z,1
13460_LNBYT5954Z_2,13460_LNBYT5954Z_2,13460_LNBYT5954Z,13460_LNBYT5954Z,2
13460_LNBYT5954Z_3,13460_LNBYT5954Z_3,13460_LNBYT5954Z,13460_LNBYT5954Z,3
13460_LNBYT5954Z_4,13460_LNBYT5954Z_4,13460_LNBYT5954Z,13460_LNBYT5954Z,4
13652_LNBYT5954Z_1,13652_LNBYT5954Z_1,13652_LNBYT5954Z,13652_LNBYT5954Z,1
13652_LNBYT5954Z_2,13652_LNBYT5954Z_2,13652_LNBYT5954Z,13652_LNBYT5954Z,2
13652_LNBYT5954Z_3,13652_LNBYT5954Z_3,13652_LNBYT5954Z,13652_LNBYT5954Z,3
13755_LNBYT5954Z_1,13755_LNBYT5954Z_1,13755_LNBYT5954Z,13755_LNBYT5954Z,1
13755_LNBYT5954Z_2,13755_LNBYT5954Z_2,13755_LNBYT5954Z,13755_LNBYT5954Z,2
13755_LNBYT5954Z_3,13755_LNBYT5954Z_3,13755_LNBYT5954Z,13755_LNBYT5954Z,3
13755_LNBYT5954Z_4,13755_LNBYT5954Z_4,13755_LNBYT5954Z,13755_LNBYT5954Z,4
13761_LNBYT5954Z_1,13761_LNBYT5954Z_1,13761_LNBYT5954Z,13761_LNBYT5954Z,1
13761_LNBYT5954Z_2,13761_LNBYT5954Z_2,13761_LNBYT5954Z,13761_LNBYT5954Z,2
13761_LNBYT5954Z_3,13761_LNBYT5954Z_3,13761_LNBYT5954Z,13761_LNBYT5954Z,3
13761_LNBYT5954Z_4,13761_LNBYT5954Z_4,13761_LNBYT5954Z,13761_LNBYT5954Z,4
13878_LNBYT5954Z_1,13878_LNBYT5954Z_1,13878_LNBYT5954Z,13878_LNBYT5954Z,1
13878_LNBYT5954Z_2,13878_LNBYT5954Z_2,13878_LNBYT5954Z,13878_LNBYT5954Z,2
13878_LNBYT5954Z_3,13878_LNBYT5954Z_3,13878_LNBYT5954Z,13878_LNBYT5954Z,3
14192_LNBYT5954Z_1,14192_LNBYT5954Z_1,14192_LNBYT5954Z,14192_LNBYT5954Z,1
14192_LNBYT5954Z_2,14192_LNBYT5954Z_2,14192_LNBYT5954Z,14192_LNBYT5954Z,2
14192_LNBYT5954Z_3,14192_LNBYT5954Z_3,14192_LNBYT5954Z,14192_LNBYT5954Z,3
14192_LNBYT5954Z_4,14192_LNBYT5954Z_4,14192_LNBYT5954Z,14192_LNBYT5954Z,4
14528_LNBYT5954Z_1,14528_LNBYT5954Z_1,14528_LNBYT5954Z,14528_LNBYT5954Z,1
14528_LNBYT5954Z_2,14528_LNBYT5954Z_2,14528_LNBYT5954Z,14528_LNBYT5954Z,2
14528_LNBYT5954Z_3,14528_LNBYT5954Z_3,14528_LNBYT5954Z,14528_LNBYT5954Z,3
14528_LNBYT5954Z_4,14528_LNBYT5954Z_4,14528_LNBYT5954Z,14528_LNBYT5954Z,4
14626_LNBYT5954Z_1,14626_LNBYT5954Z_1,14626_LNBYT5954Z,14626_LNBYT5954Z,1
14626_LNBYT5954Z_2,14626_LNBYT5954Z_2,14626_LNBYT5954Z,14626_LNBYT5954Z,2
14626_LNBYT5954Z_3,14626_LNBYT5954Z_3,14626_LNBYT5954Z,14626_LNBYT5954Z,3
14875_LNBYT5954Z_1,14875_LNBYT5954Z_1,14875_LNBYT5954Z,14875_LNBYT5954Z,1
14875_LNBYT5954Z_2,14875_LNBYT5954Z_2,14875_LNBYT5954Z,14875_LNBYT5954Z,2
14875_LNBYT5954Z_3,14875_LNBYT5954Z_3,14875_LNBYT5954Z,14875_LNBYT5954Z,3
14875_LNBYT5954Z_4,14875_LNBYT5954Z_4,14875_LNBYT5954Z,14875_LNBYT5954Z,4
15018_LNBYT5954Z_1,15018_LNBYT5954Z_1,15018_LNBYT5954Z,15018_LNBYT5954Z,1
15018_LNBYT5954Z_2,15018_LNBYT5954Z_2,15018_LNBYT5954Z,15018_LNBYT5954Z,2
15265_LNBYT5954Z_1,15265_LNBYT5954Z_1,15265_LNBYT5954Z,15265_LNBYT5954Z,1
15265_LNBYT5954Z_2,15265_LNBYT5954Z_2,15265_LNBYT5954Z,15265_LNBYT5954Z,2
15265_LNBYT5954Z_3,15265_LNBYT5954Z_3,15265_LNBYT5954Z,15265_LNBYT5954Z,3
15528_LNBYT5954Z_1,15528_LNBYT5954Z_1,15528_LNBYT5954Z,15528_LNBYT5954Z,1
15571_LNBYT5954Z_1,15571_LNBYT5954Z_1,15571_LNBYT5954Z,15571_LNBYT5954Z,1
15571_LNBYT5954Z_2,15571_LNBYT5954Z_2,15571_LNBYT5954Z,15571_LNBYT5954Z,2
15571_LNBYT5954Z_3,15571_LNBYT5954Z_3,15571_LNBYT5954Z,15571_LNBYT5954Z,3
15679_LNBYT5954Z_1,15679_LNBYT5954Z_1,15679_LNBYT5954Z,15679_LNBYT5954Z,1
15679_LNBYT5954Z_2,15679_LNBYT5954Z_2,15679_LNBYT5954Z,15679_LNBYT5954Z,2
15679_LNBYT5954Z_3,15679_LNBYT5954Z_3,15679_LNBYT5954Z,15679_LNBYT5954Z,3
15679_LNBYT5954Z_4,15679_LNBYT5954Z_4,15679_LNBYT5954Z,15679_LNBYT5954Z,4
15751_LNBYT5954Z_1,15751_LNBYT5954Z_1,15751_LNBYT5954Z,15751_LNBYT5954Z,1
15751_LNBYT5954Z_2,15751_LNBYT5954Z_2,15751_LNBYT5954Z,15751_LNBYT5954Z,2
15966_LNBYT5954Z_1,15966_LNBYT5954Z_1,15966_LNBYT5954Z,15966_LNBYT5954Z,1
15966_LNBYT5954Z_2,15966_LNBYT5954Z_2,15966_LNBYT5954Z,15966_LNBYT5954Z,2
15966_LNBYT5954Z_3,15966_LNBYT5954Z_3,15966_LNBYT5954Z,15966_LNBYT5954Z,3
15966_LNBYT5954Z_4,15966_LNBYT5954Z_4,15966_LNBYT5954Z,15966_LNBYT5954Z,4
15966_LNBYT5954Z_5,15966_LNBYT5954Z_5,15966_LNBYT5954Z,15966_LNBYT5954Z,5
16060_LNBYT5954Z_1,16060_LNBYT5954Z_1,16060_LNBYT5954Z,16060_LNBYT5954Z,1
16060_LNBYT5954Z_2,16060_LNBYT5954Z_2,16060_LNBYT5954Z,16060_LNBYT5954Z,2
16111_LNBYT5954Z_1,16111_LNBYT5954Z_1,16111_LNBYT5954Z,16111_LNBYT5954Z,1
16111_LNBYT5954Z_2,16111_LNBYT5954Z_2,16111_LNBYT5954Z,16111_LNBYT5954Z,2
16111_LNBYT5954Z_3,16111_LNBYT5954Z_3,16111_LNBYT5954Z,16111_LNBYT5954Z,3
16111_LNBYT5954Z_4,16111_LNBYT5954Z_4,16111_LNBYT5954Z,16111_LNBYT5954Z,4
16469_LNBYT5954Z_1,16469_LNBYT5954Z_1,16469_LNBYT5954Z,16469_LNBYT5954Z,1
